Normal, Virus or Bacteria resnet18 trained model
Optimizer : rmsprop, Final activation : sigmoid
--------------------------------------------------------------

METRICS :
loss : 0.9877559443314871
accuracy : 0.5636363625526428
true_positives : 86.0
false_positives : 72.0
true_negatives : 258.0
false_negatives : 79.0
precision : 0.5443037748336792
recall : 0.521212100982666
auc : 0.7047658562660217

PREDICTIONS :
Predictions : [0.21218267 0.5757331  0.21208428], Result : BACTERIA
Predictions : [0.21194145 0.5761164  0.2119421 ], Result : BACTERIA
Predictions : [0.21194136 0.57611567 0.21194294], Result : BACTERIA
Predictions : [0.21194158 0.5761131  0.21194525], Result : BACTERIA
Predictions : [0.21194147 0.57611644 0.21194205], Result : BACTERIA
Predictions : [0.21194313 0.57610357 0.21195325], Result : BACTERIA
Predictions : [0.21372303 0.5739291  0.21234788], Result : BACTERIA
Predictions : [0.21194148 0.5761166  0.21194191], Result : BACTERIA
Predictions : [0.21591854 0.57153505 0.21254636], Result : BACTERIA
Predictions : [0.21194144 0.57611626 0.21194232], Result : BACTERIA
Predictions : [0.21194156 0.57611686 0.21194164], Result : BACTERIA
Predictions : [0.21203563 0.5759439  0.2120205 ], Result : BACTERIA
Predictions : [0.21426307 0.57331526 0.2124217 ], Result : BACTERIA
Predictions : [0.2119688 0.5760416 0.2119897], Result : BACTERIA
Predictions : [0.21194145 0.5761165  0.21194202], Result : BACTERIA
Predictions : [0.48134625 0.23510444 0.28354934], Result : NORMAL
Predictions : [0.22361842 0.56321853 0.21316312], Result : BACTERIA
Predictions : [0.21194157 0.5761169  0.21194157], Result : BACTERIA
Predictions : [0.21194156 0.57611686 0.21194157], Result : BACTERIA
Predictions : [0.21194139 0.5761159  0.21194276], Result : BACTERIA
Predictions : [0.21194156 0.57611686 0.21194166], Result : BACTERIA
Predictions : [0.21372952 0.5738794  0.2123911 ], Result : BACTERIA
Predictions : [0.21194144 0.57611626 0.21194233], Result : BACTERIA
Predictions : [0.21194436 0.576099   0.21195665], Result : BACTERIA
Predictions : [0.4423206  0.16557463 0.39210474], Result : NORMAL
Predictions : [0.2119414 0.5761158 0.2119428], Result : BACTERIA
Predictions : [0.21194151 0.57611674 0.21194172], Result : BACTERIA
Predictions : [0.21194153 0.5761168  0.21194169], Result : BACTERIA
Predictions : [0.50255275 0.211416   0.28603134], Result : NORMAL
Predictions : [0.22655821 0.560283   0.21315874], Result : BACTERIA
Predictions : [0.21194145 0.5761165  0.21194199], Result : BACTERIA
Predictions : [0.21246862 0.57537764 0.21215366], Result : BACTERIA
Predictions : [0.4252608  0.15658593 0.41815332], Result : NORMAL
Predictions : [0.21208148 0.57582533 0.2120932 ], Result : BACTERIA
Predictions : [0.2136849  0.5739304  0.21238469], Result : BACTERIA
Predictions : [0.21919833 0.56793284 0.21286882], Result : BACTERIA
Predictions : [0.21212588 0.57577384 0.21210034], Result : BACTERIA
Predictions : [0.21363382 0.5739937  0.21237253], Result : BACTERIA
Predictions : [0.213106  0.5745706 0.2123234], Result : BACTERIA
Predictions : [0.21194138 0.5761159  0.21194272], Result : BACTERIA
Predictions : [0.21194138 0.57611567 0.21194305], Result : BACTERIA
Predictions : [0.21704215 0.5702216  0.21273626], Result : BACTERIA
Predictions : [0.21194367 0.576096   0.21196033], Result : BACTERIA
Predictions : [0.22381094 0.5632007  0.21298827], Result : BACTERIA
Predictions : [0.21194157 0.5761169  0.21194157], Result : BACTERIA
Predictions : [0.21194156 0.57611686 0.21194158], Result : BACTERIA
Predictions : [0.21198101 0.57602733 0.21199168], Result : BACTERIA
Predictions : [0.21194533 0.5760963  0.21195832], Result : BACTERIA
Predictions : [0.21194725 0.57609004 0.21196279], Result : BACTERIA
