Normal, Virus or Bacteria resnet34 trained model
Optimizer : adam, Final activation : sigmoid
--------------------------------------------------------------

METRICS :
loss : 1.0291675925254822
accuracy : 0.521212100982666
true_positives : 85.0
false_positives : 76.0
true_negatives : 254.0
false_negatives : 80.0
precision : 0.5279502868652344
recall : 0.5151515007019043
auc : 0.7336455583572388

PREDICTIONS :
Predictions : [0.21552567 0.57071376 0.21376045], Result : BACTERIA
Predictions : [0.2139112  0.573202   0.21288681], Result : BACTERIA
Predictions : [0.21344532 0.57391    0.2126447 ], Result : BACTERIA
Predictions : [0.21315378 0.574351   0.2124952 ], Result : BACTERIA
Predictions : [0.212732   0.5749822  0.21228576], Result : BACTERIA
Predictions : [0.21543705 0.57085156 0.21371146], Result : BACTERIA
Predictions : [0.22359669 0.5578759  0.21852738], Result : BACTERIA
Predictions : [0.22524774 0.55520743 0.21954477], Result : BACTERIA
Predictions : [0.21249513 0.57533205 0.2121728 ], Result : BACTERIA
Predictions : [0.21424231 0.57269585 0.21306182], Result : BACTERIA
Predictions : [0.21717185 0.5681375  0.21469064], Result : BACTERIA
Predictions : [0.21403646 0.57301015 0.2129534 ], Result : BACTERIA
Predictions : [0.21348366 0.57385254 0.21266381], Result : BACTERIA
Predictions : [0.21614408 0.5697495  0.21410641], Result : BACTERIA
Predictions : [0.21245238 0.5753945  0.21215312], Result : BACTERIA
Predictions : [0.21966703 0.56418157 0.21615146], Result : BACTERIA
Predictions : [0.2140429  0.5730008  0.21295637], Result : BACTERIA
Predictions : [0.21404079 0.57300407 0.21295512], Result : BACTERIA
Predictions : [0.2155137  0.5707324  0.21375386], Result : BACTERIA
Predictions : [0.21294156 0.5746697  0.2123887 ], Result : BACTERIA
Predictions : [0.21276581 0.5749322  0.21230198], Result : BACTERIA
Predictions : [0.2143314  0.5725591  0.21310946], Result : BACTERIA
Predictions : [0.23077367 0.5462009  0.22302544], Result : BACTERIA
Predictions : [0.22046952 0.56289905 0.21663141], Result : BACTERIA
Predictions : [0.2142154  0.5727371  0.21304753], Result : BACTERIA
Predictions : [0.21296573 0.57463354 0.21240075], Result : BACTERIA
Predictions : [0.2124143  0.5754502  0.21213554], Result : BACTERIA
Predictions : [0.21426553 0.5726601  0.21307436], Result : BACTERIA
Predictions : [0.22050016 0.56285006 0.21664974], Result : BACTERIA
Predictions : [0.2232766  0.558392   0.21833138], Result : BACTERIA
Predictions : [0.21700443 0.5684008  0.2145948 ], Result : BACTERIA
Predictions : [0.21222249 0.57572776 0.21204974], Result : BACTERIA
Predictions : [0.21290916 0.574718   0.21237281], Result : BACTERIA
